,siteName,siteLat,siteLon,siteLandCover,H_DCA,H_insitu,H_Tbh,H_Tbv,H_Teff,MI_dca_insitu,MI_hv_dca,MI_hv_temp_insitu,U_h,U_v,S,R_s,corrSM,corrHV,mean_LAI,std_LAI,numPoints,range
24,WA_Spokane_17_SSW,47.42,-117.53,Croplands,0.3375086311157507,0.28483744771857894,0.32282793037857055,0.3417942215699547,0.36724065080037993,0.11255674234138335,0.16903926198302832,0.14564417342368818,0.011209111993459114,0.0036339569527582827,0.008306125943158466,0.14589006709365246,0.9068132311713116,0.9919333273342985,0.7837776119402988,0.40603134328358226,1361,19.837322832117355
25,OH_Coshocton_8_NNE,40.37,-81.78,Croplands,0.4148744818620308,0.3613902786887801,0.3807595259482764,0.39322361422792146,0.40443227802346426,0.054796560870252975,0.11730741772010145,0.20897808403354823,0.0321006934696097,0.023876815369730575,0.024656473103895016,0.03667343577686616,0.4994652559652536,0.9569848304009507,1.5820883116883118,0.7186207792207793,225,14.150880872938368
26,OH_Wooster_3_SSE,40.76,-81.91,Croplands,0.39186856844378615,0.37134290116118035,0.35809270734656606,0.3462122801213982,0.3016463813618752,0.08294773260223431,0.13742022259183606,0.14973854431136746,0.007459452956579737,0.010577550581256479,0.012794954450575713,0.10658826460342413,0.7940616901413194,0.9849654417708006,1.1694427947598247,0.5524227074235806,746,18.37227524253702
27,SC_Blackville_3_W,33.36,-81.33,Savannas,0.38955633006189516,0.37817212773453895,0.3859233765623172,0.38508426202172985,0.37642375551802604,0.11522275946671467,0.11097395557406198,0.19756830830995542,0.011722831512584325,0.008987762054614795,0.01726300991686283,0.07300035209000003,0.8406280203631019,0.9894403591116874,1.7984004662004676,0.8572491841491835,523,13.655695344476353
28,CO_La_Junta_17_WSW,37.86,-103.82,Grasslands,0.37262805221832646,0.37931837463145973,0.3999984555185471,0.3884522277625337,0.3740018297345384,0.03169547905235581,0.1411265628582158,0.18092266160173753,0.051514382005129485,0.027344480200668604,0.029862854705490986,0.03240484594692671,0.3227142472947262,0.969798444849437,0.2811147465437788,0.09347764976958535,828,17.296134119448453
29,CO_Montrose_11_ENE,38.54,-107.69,Grasslands,0.37988446023910266,0.3455226835373271,0.3719829918561936,0.3827944616688924,0.3817411450626968,0.05358410448306761,0.12516354062272406,0.17367985148043552,0.025416035380732976,0.01209046157211921,0.019647142682709312,0.06800990098716256,0.623317592576236,0.9865996006185236,0.6786389880952379,0.4396693452380949,906,12.985700779929592
30,CO_Nunn_7_NNE,40.81,-104.76,Grasslands,0.35920331822880874,0.29985609909252325,0.3546851921586818,0.36386567976158113,0.37265093241684055,0.05018442508897125,0.14352622494503342,0.14734756461737375,0.027025033307246357,0.009068757504773414,0.014203806352638862,0.09322862778037479,0.6691884548091948,0.9852473476301096,0.36647692307692303,0.11157667493796514,1105,23.55459315787613
31,KS_Oakley_19_SSW,38.87,-100.96,Grasslands,0.3783268390357472,0.3614011165264666,0.3814650488638187,0.38510116218576773,0.3525110645468567,0.07711184855797115,0.1555599890534598,0.20184769991117946,0.04249069639478381,0.01993182302615587,0.023628187061351114,0.069509282571169,0.7423850901710601,0.9756306564072872,0.544574823529412,0.24177835294117653,1090,21.89191897331028
32,MT_Wolf_Point_29_ENE,48.31,-105.1,Grasslands,0.3604786215163094,0.3646852066571167,0.34467110312898114,0.3604558911852647,0.36460067027708487,0.0746435400871529,0.15683365648127257,0.17234710756443372,0.03021825782205323,0.006823472624979399,0.01127936059766288,0.10851256543657706,0.7510211397307236,0.9843890081409045,0.5639603333333335,0.23772533333333315,1083,23.584944326131296
33,MT_Wolf_Point_34_NE,48.49,-105.21,Croplands,0.36716318284751165,0.3496704039665656,0.3498968481694266,0.3537575959951485,0.37125416643942,0.08209013060912718,0.15150138006364533,0.16665703604829563,0.034522436382823665,0.00838137706561233,0.011651342905992276,0.09694622370921706,0.7915183621634975,0.9834575696081811,0.5955769230769233,0.25402675585284296,1155,23.041633731462223
34,NE_Harrison_20_SSE,42.42,-103.74,Grasslands,0.34858873397386636,0.36012252975557096,0.35030753695037264,0.3598383873479887,0.3748508895755462,0.07047832060451398,0.15822309320958416,0.1705529198920427,0.024837387612055783,0.008537286286820378,0.012592754107314308,0.1122556652033937,0.7588277859573933,0.9824106029320845,0.494545355191257,0.2024278688524591,1179,23.002241152439005
35,NE_Whitman_5_ENE,42.07,-101.44,Grasslands,0.3810870357098822,0.3576883505610712,0.3560687200294173,0.3539877420154329,0.3688056957554097,0.06894328627476098,0.1342008037595146,0.1834811395255983,0.03415642071651193,0.018010786707080235,0.02016060953930076,0.06187298679662167,0.6864487861137007,0.9749839935951319,0.6303328947368418,0.22201052631578952,1239,22.68137349151045
36,NM_Las_Cruces_20_N,32.61,-106.74,Shrublands,0.39603301325202156,0.36049169892593935,0.3834712164812595,0.38205634972708347,0.3574584115042106,0.03022159214985909,0.11285270877946196,0.14097012362923755,0.032522767306874735,0.01999245723690799,0.038316246877602066,0.02202123735807717,0.4450194630571659,0.9700366456455638,0.2179006696428571,0.07098705357142857,1281,20.177743892386776
